userId,movieId,rating,timestamp,title,genres,year,clean_title,average_rating,rating_count,content
1,1,4.0,964982703,Toy Story (1995),adventure animation children comedy fantasy,1995,Toy Story,3.9209302325581397,215,Toy Story adventure animation children comedy fantasy
1,3,4.0,964981247,Grumpier Old Men (1995),comedy romance,1995,Grumpier Old Men,3.2596153846153846,52,Grumpier Old Men comedy romance
1,6,4.0,964982224,Heat (1995),action crime thriller,1995,Heat,3.946078431372549,102,Heat action crime thriller
1,47,5.0,964983815,Seven (a.k.a. Se7en) (1995),mystery thriller,1995,Seven (a.k.a. Se7en),3.9753694581280787,203,Seven (a.k.a. Se7en) mystery thriller
1,50,5.0,964982931,"Usual Suspects, The (1995)",crime mystery thriller,1995,"Usual Suspects, The",4.237745098039215,204,"Usual Suspects, The crime mystery thriller"
1,70,3.0,964982400,From Dusk Till Dawn (1996),action comedy horror thriller,1996,From Dusk Till Dawn,3.5090909090909093,55,From Dusk Till Dawn action comedy horror thriller
1,101,5.0,964980868,Bottle Rocket (1996),adventure comedy crime romance,1996,Bottle Rocket,3.782608695652174,23,Bottle Rocket adventure comedy crime romance
1,110,4.0,964982176,Braveheart (1995),action drama war,1995,Braveheart,4.031645569620253,237,Braveheart action drama war
1,151,5.0,964984041,Rob Roy (1995),action drama romance war,1995,Rob Roy,3.5454545454545454,44,Rob Roy action drama romance war
1,157,5.0,964984100,Canadian Bacon (1995),comedy war,1995,Canadian Bacon,2.8636363636363638,11,Canadian Bacon comedy war
1,163,5.0,964983650,Desperado (1995),action romance western,1995,Desperado,3.5606060606060606,66,Desperado action romance western
1,216,5.0,964981208,Billy Madison (1995),comedy,1995,Billy Madison,3.326530612244898,49,Billy Madison comedy
1,223,3.0,964980985,Clerks (1994),comedy,1994,Clerks,3.855769230769231,104,Clerks comedy
1,231,5.0,964981179,Dumb & Dumber (Dumb and Dumber) (1994),adventure comedy,1994,Dumb & Dumber (Dumb and Dumber),3.0601503759398496,133,Dumb & Dumber (Dumb and Dumber) adventure comedy
1,235,4.0,964980908,Ed Wood (1994),comedy drama,1994,Ed Wood,3.6785714285714284,70,Ed Wood comedy drama
1,260,5.0,964981680,Star Wars: Episode IV - A New Hope (1977),action adventure sci-fi,1977,Star Wars: Episode IV - A New Hope,4.231075697211155,251,Star Wars: Episode IV - A New Hope action adventure sci-fi
1,296,3.0,964982967,Pulp Fiction (1994),comedy crime drama thriller,1994,Pulp Fiction,4.197068403908795,307,Pulp Fiction comedy crime drama thriller
1,316,3.0,964982310,Stargate (1994),action adventure sci-fi,1994,Stargate,3.375,140,Stargate action adventure sci-fi
1,333,5.0,964981179,Tommy Boy (1995),comedy,1995,Tommy Boy,3.78,50,Tommy Boy comedy
1,349,4.0,964982563,Clear and Present Danger (1994),action crime drama thriller,1994,Clear and Present Danger,3.6045454545454545,110,Clear and Present Danger action crime drama thriller
1,356,4.0,964980962,Forrest Gump (1994),comedy drama romance war,1994,Forrest Gump,4.164133738601824,329,Forrest Gump comedy drama romance war
1,362,5.0,964982588,"Jungle Book, The (1994)",adventure children romance,1994,"Jungle Book, The",3.5294117647058822,34,"Jungle Book, The adventure children romance"
1,367,4.0,964981710,"Mask, The (1994)",action comedy crime fantasy,1994,"Mask, The",3.1847133757961785,157,"Mask, The action comedy crime fantasy"
1,423,3.0,964982363,Blown Away (1994),action thriller,1994,Blown Away,2.85,10,Blown Away action thriller
1,441,4.0,964980868,Dazed and Confused (1993),comedy,1993,Dazed and Confused,3.9285714285714284,42,Dazed and Confused comedy
1,457,5.0,964981909,"Fugitive, The (1993)",thriller,1993,"Fugitive, The",3.9921052631578946,190,"Fugitive, The thriller"
1,480,4.0,964982346,Jurassic Park (1993),action adventure sci-fi thriller,1993,Jurassic Park,3.75,238,Jurassic Park action adventure sci-fi thriller
1,500,3.0,964981208,Mrs. Doubtfire (1993),comedy drama,1993,Mrs. Doubtfire,3.388888888888889,144,Mrs. Doubtfire comedy drama
1,527,5.0,964984002,Schindler's List (1993),drama war,1993,Schindler's List,4.225,220,Schindler's List drama war
